,,,,Error_SKErrorClientInvalid,Your device is not authorized to make purchases. Please check your settings and try again.,جهازك غير مصرح له بإجراء عمليات شراء. يرجى التحقق من إعداداتك وحاول مرة أخرى.,您的设备无权进行购买。请检查您的设置，然后再试一次。,您的設備無權進行購買。請檢查您的設置，然後再試一次。,Uw apparaat is niet geautoriseerd om aankopen te doen. Controleer uw instellingen en probeer het opnieuw.,Hindi awtorisado ang iyong device na bumili. Pakisuri ang iyong mga setting at subukang muli.,Laitteellasi ei ole lupaa tehdä ostoksia. Tarkista asetuksesi ja yritä uudelleen.,Votre appareil n'est pas autorisé à effectuer des achats. Veuillez vérifier vos paramètres puis essayez une nouvelle fois.,Ihr Gerät ist nicht zum Kauf berechtigt. Bitte überprüfen Sie Ihre Einstellungen und versuchen Sie es erneut.,आपका उपकरण खरीदारी करने के लिए अधिकृत नहीं है. कृपया अपनी सेटिंग देखें और पुनः प्रयास करें।,Perangkat Anda tidak diizinkan untuk melakukan pembelian. Silakan periksa pengaturan Anda dan coba lagi.,Il tuo dispositivo non è autorizzato a effettuare acquisti. Verifica le impostazioni e riprova.,귀하의 기기는 구매할 수 있는 권한이 없습니다. 설정을 확인하고 다시 시도해 주세요.,お使いのデバイスには購入が許可されていません。設定を確認して、もう一度試してください。,Peranti anda tidak dibenarkan membuat pembelian. Sila semak tetapan anda dan cuba lagi.,Enheten din er ikke autorisert til å foreta kjøp. Sjekk innstillingene og prøv igjen.,Twoje urządzenie nie jest autoryzowane do dokonywania zakupów. Sprawdź swoje ustawienia i spróbuj ponownie.,"Seu dispositivo não está autorizado a fazer compras. Por favor, verifique suas configurações e tente novamente.","Seu dispositivo não está autorizado a fazer compras. Por favor, verifique suas configurações e tente novamente.",Ваше устройство не авторизовано для совершения покупок. Пожалуйста проверьте свои настройки и попробуйте снова.,Su dispositivo no está autorizado para realizar compras. Por favor verifique su configuración e inténtelo nuevamente.,Din enhet är inte auktoriserad att göra köp. Kontrollera dina inställningar och försök igen.,อุปกรณ์ของคุณไม่ได้รับอนุญาตให้ทำการซื้อ โปรดตรวจสอบการตั้งค่าของคุณแล้วลองอีกครั้ง,Cihazınızın satın alma işlemi yapma yetkisi yoktur. Lütfen ayarlarınızı kontrol edip tekrar deneyin.,Thiết bị của bạn không được phép thực hiện mua hàng. Vui lòng kiểm tra các thiết lập của bạn và thử lại.
,,,,Error_SKErrorPaymentCancelled,"The payment was cancelled. If this was a mistake, please try again.",تم إلغاء الدفع. إذا كان هذا خطأ، يرجى المحاولة مرة أخرى.,付款已取消。如果这是一个错误，请重试。,付款已取消。如果這是一個錯誤，請重試。,"De betaling is geannuleerd. Als dit een vergissing was, probeer het dan opnieuw.","Kinansela ang pagbabayad. Kung ito ay isang pagkakamali, pakisubukang muli.","Maksu peruutettiin. Jos tämä oli virhe, yritä uudelleen.","Le paiement a été annulé. S'il s'agit d'une erreur, veuillez réessayer.","Die Zahlung wurde storniert. Wenn dies ein Fehler war, versuchen Sie es bitte erneut.","भुगतान रद्द कर दिया गया. यदि यह कोई गलती थी, तो कृपया पुनः प्रयास करें।","Pembayaran dibatalkan. Jika ini kesalahan, silakan coba lagi.","Il pagamento è stato annullato. Se si è trattato di un errore, riprova.",결제가 취소되었습니다. 실수였다면 다시 시도해 주세요.,支払いはキャンセルされました。これが間違いだった場合は、もう一度やり直してください。,"Bayaran telah dibatalkan. Jika ini satu kesilapan, sila cuba lagi.","Betalingen ble kansellert. Hvis dette var en feil, prøv igjen.","Płatność została anulowana. Jeśli to był błąd, spróbuj ponownie.","O pagamento foi cancelado. Se isso foi um erro, tente novamente.","O pagamento foi cancelado. Se isso foi um erro, tente novamente.","Платеж был отменен. Если это была ошибка, попробуйте еще раз.","El pago fue cancelado. Si esto fue un error, inténtelo de nuevo.","Betalningen avbröts. Om detta var ett misstag, försök igen.",การชำระเงินถูกยกเลิก หากนี่เป็นข้อผิดพลาด โปรดลองอีกครั้ง,Ödeme iptal edildi. Bu bir hataysa lütfen tekrar deneyin.,"Việc thanh toán đã bị hủy. Nếu đây là lỗi, vui lòng thử lại."
,,,,Error_SKErrorOverlayCancelled,"The overlay was cancelled. If this was a mistake, please try again.",تم إلغاء التراكب. إذا كان هذا خطأ، يرجى المحاولة مرة أخرى.,叠加被取消。如果这是一个错误，请重试。,疊加被取消。如果這是一個錯誤，請重試。,"De overlay is geannuleerd. Als dit een vergissing was, probeer het dan opnieuw.","Kinansela ang overlay. Kung ito ay isang pagkakamali, pakisubukang muli.","Peittokuva peruutettiin. Jos tämä oli virhe, yritä uudelleen.","La superposition a été annulée. S'il s'agit d'une erreur, veuillez réessayer.","Das Overlay wurde abgebrochen. Wenn dies ein Fehler war, versuchen Sie es bitte erneut.","ओवरले रद्द कर दिया गया. यदि यह कोई गलती थी, तो कृपया पुनः प्रयास करें।","Hamparan dibatalkan. Jika ini kesalahan, silakan coba lagi.","La sovrapposizione è stata annullata. Se si è trattato di un errore, riprova.",오버레이가 취소되었습니다. 실수였다면 다시 시도해 주세요.,オーバーレイがキャンセルされました。これが間違いだった場合は、もう一度やり直してください。,"Tindanan telah dibatalkan. Jika ini satu kesilapan, sila cuba lagi.","Overlegget ble kansellert. Hvis dette var en feil, prøv igjen.","Nakładka została anulowana. Jeśli to był błąd, spróbuj ponownie.","A sobreposição foi cancelada. Se isso foi um erro, tente novamente.","A sobreposição foi cancelada. Se isso foi um erro, tente novamente.","Наложение было отменено. Если это была ошибка, попробуйте еще раз.","La superposición fue cancelada. Si esto fue un error, inténtelo de nuevo.","Överlägget avbröts. Om detta var ett misstag, försök igen.",การซ้อนทับถูกยกเลิก หากนี่เป็นข้อผิดพลาด โปรดลองอีกครั้ง,Yer paylaşımı iptal edildi. Bu bir hataysa lütfen tekrar deneyin.,"Lớp phủ đã bị hủy. Nếu đây là lỗi, vui lòng thử lại."
,,,,Error_SKErrorPaymentInvalid,"The payment was cancelled. If this was a mistake, please try again.",تم إلغاء الدفع. إذا كان هذا خطأ، يرجى المحاولة مرة أخرى.,付款已取消。如果这是一个错误，请重试。,付款已取消。如果這是一個錯誤，請重試。,"De betaling is geannuleerd. Als dit een vergissing was, probeer het dan opnieuw.","Kinansela ang pagbabayad. Kung ito ay isang pagkakamali, pakisubukang muli.","Maksu peruutettiin. Jos tämä oli virhe, yritä uudelleen.","Le paiement a été annulé. S'il s'agit d'une erreur, veuillez réessayer.","Die Zahlung wurde storniert. Wenn dies ein Fehler war, versuchen Sie es bitte erneut.","भुगतान रद्द कर दिया गया. यदि यह कोई गलती थी, तो कृपया पुनः प्रयास करें।","Pembayaran dibatalkan. Jika ini kesalahan, silakan coba lagi.","Il pagamento è stato annullato. Se si è trattato di un errore, riprova.",결제가 취소되었습니다. 실수였다면 다시 시도해 주세요.,支払いはキャンセルされました。これが間違いだった場合は、もう一度やり直してください。,"Bayaran telah dibatalkan. Jika ini satu kesilapan, sila cuba lagi.","Betalingen ble kansellert. Hvis dette var en feil, prøv igjen.","Płatność została anulowana. Jeśli to był błąd, spróbuj ponownie.","O pagamento foi cancelado. Se isso foi um erro, tente novamente.","O pagamento foi cancelado. Se isso foi um erro, tente novamente.","Платеж был отменен. Если это была ошибка, попробуйте еще раз.","El pago fue cancelado. Si esto fue un error, inténtelo de nuevo.","Betalningen avbröts. Om detta var ett misstag, försök igen.",การชำระเงินถูกยกเลิก หากนี่เป็นข้อผิดพลาด โปรดลองอีกครั้ง,Ödeme iptal edildi. Bu bir hataysa lütfen tekrar deneyin.,"Việc thanh toán đã bị hủy. Nếu đây là lỗi, vui lòng thử lại."
,,,,Error_SKErrorPaymentNotAllowed,The payment information provided is invalid. Please check your payment details and try again.,معلومات الدفع المقدمة غير صالحة. يرجى التحقق من تفاصيل الدفع الخاصة بك وحاول مرة أخرى.,提供的付款信息无效。请检查您的付款详细信息，然后重试。,提供的付款資訊無效。請檢查您的付款詳細信息，然後重試。,De opgegeven betalingsgegevens zijn ongeldig. Controleer uw betalingsgegevens en probeer het opnieuw.,Ang impormasyon sa pagbabayad na ibinigay ay hindi wasto. Pakisuri ang iyong mga detalye ng pagbabayad at subukang muli.,Annetut maksutiedot ovat virheellisiä. Tarkista maksutietosi ja yritä uudelleen.,Les informations de paiement fournies sont invalides. Veuillez vérifier vos informations de paiement et réessayer.,Die angegebenen Zahlungsinformationen sind ungültig. Bitte überprüfen Sie Ihre Zahlungsdetails und versuchen Sie es erneut.,प्रदान की गई भुगतान जानकारी अमान्य है. कृपया अपना भुगतान विवरण जांचें और पुनः प्रयास करें।,Informasi pembayaran yang diberikan tidak valid. Silakan periksa rincian pembayaran Anda dan coba lagi.,Le informazioni di pagamento fornite non sono valide. Controlla i dettagli del pagamento e riprova.,제공된 결제 정보가 잘못되었습니다. 결제 세부정보를 확인하신 후 다시 시도해 주세요.,提供された支払い情報は無効です。お支払いの詳細を確認して、もう一度お試しください。,Maklumat pembayaran yang diberikan adalah tidak sah. Sila semak butiran pembayaran anda dan cuba lagi.,Betalingsinformasjonen som er oppgitt er ugyldig. Sjekk betalingsopplysningene dine og prøv på nytt.,Podane informacje o płatności są nieprawidłowe. Sprawdź szczegóły płatności i spróbuj ponownie.,As informações de pagamento fornecidas são inválidas. Verifique seus detalhes de pagamento e tente novamente.,As informações de pagamento fornecidas são inválidas. Verifique seus detalhes de pagamento e tente novamente.,"Предоставленная платежная информация недействительна. Пожалуйста, проверьте свои платежные данные и повторите попытку.",La información de pago proporcionada no es válida. Por favor verifique sus detalles de pago e inténtelo nuevamente.,Den angivna betalningsinformationen är ogiltig. Kontrollera dina betalningsuppgifter och försök igen.,ข้อมูลการชำระเงินที่ให้ไว้ไม่ถูกต้อง โปรดตรวจสอบรายละเอียดการชำระเงินของคุณแล้วลองอีกครั้ง,Sağlanan ödeme bilgileri geçersiz. Lütfen ödeme ayrıntılarınızı kontrol edip tekrar deneyin.,Thông tin thanh toán được cung cấp không hợp lệ. Vui lòng kiểm tra chi tiết thanh toán của bạn và thử lại.
,,,,Error_SKErrorStoreProductNotAvailable,The product you are trying to purchase is currently not available in the store.,المنتج الذي تحاول شراءه غير متوفر حاليًا في المتجر.,您尝试购买的产品目前在商店中无货。,您嘗試購買的產品目前在商店中無貨。,"Het product dat u probeert te kopen, is momenteel niet beschikbaar in de winkel.",Ang produktong sinusubukan mong bilhin ay kasalukuyang hindi available sa tindahan.,"Tuote, jota yrität ostaa, ei ole tällä hetkellä saatavilla kaupasta.",Le produit que vous essayez d'acheter n'est actuellement pas disponible en magasin.,"Das Produkt, das Sie kaufen möchten, ist derzeit nicht im Shop verfügbar.",आप जिस उत्पाद को खरीदने का प्रयास कर रहे हैं वह वर्तमान में स्टोर में उपलब्ध नहीं है।,Produk yang Anda coba beli saat ini tidak tersedia di toko.,Il prodotto che stai tentando di acquistare non è attualmente disponibile nel negozio.,구매하시려는 상품은 현재 매장에서 구매하실 수 없습니다.,購入しようとしている製品は現在ストアにありません。,Produk yang anda cuba beli tidak tersedia di kedai pada masa ini.,Produktet du prøver å kjøpe er for øyeblikket ikke tilgjengelig i butikken.,"Produkt, który próbujesz kupić, nie jest obecnie dostępny w sklepie.",O produto que você está tentando comprar não está disponível na loja no momento.,O produto que você está tentando comprar não está disponível na loja no momento.,"Товар, который вы пытаетесь приобрести, в настоящее время недоступен в магазине.",El producto que estás intentando comprar no está disponible actualmente en la tienda.,Produkten du försöker köpa är för närvarande inte tillgänglig i butiken.,ผลิตภัณฑ์ที่คุณพยายามซื้อไม่มีวางจำหน่ายในร้านค้าในขณะนี้,Satın almaya çalıştığınız ürün şu anda mağazada mevcut değildir.,Sản phẩm bạn đang muốn mua hiện không có sẵn trong cửa hàng.
,,,,Error_SKErrorCloudServicePermissionDenied,Permission to access the cloud service was denied. Please check your settings and try again.,تم رفض إذن الوصول إلى الخدمة السحابية. يرجى التحقق من إعداداتك وحاول مرة أخرى.,访问云服务的权限被拒绝。请检查您的设置，然后再试一次。,存取雲端服務的權限被拒絕。請檢查您的設置，然後再試一次。,Toestemming voor toegang tot de cloudservice is geweigerd. Controleer uw instellingen en probeer het opnieuw.,Ang pahintulot na ma-access ang serbisyo sa cloud ay tinanggihan. Pakisuri ang iyong mga setting at subukang muli.,Pilvipalvelun käyttöoikeus evättiin. Tarkista asetuksesi ja yritä uudelleen.,L'autorisation d'accéder au service cloud a été refusée. Veuillez vérifier vos paramètres puis essayez une nouvelle fois.,Die Berechtigung zum Zugriff auf den Cloud-Dienst wurde verweigert. Bitte überprüfen Sie Ihre Einstellungen und versuchen Sie es erneut.,क्लाउड सेवा तक पहुँचने की अनुमति अस्वीकार कर दी गई। कृपया अपनी सेटिंग देखें और पुनः प्रयास करें।,Izin untuk mengakses layanan cloud ditolak. Silakan periksa pengaturan Anda dan coba lagi.,L'autorizzazione ad accedere al servizio cloud è stata negata. Verifica le impostazioni e riprova.,클라우드 서비스 접근 권한이 거부되었습니다. 설정을 확인하고 다시 시도해 주세요.,クラウドサービスへのアクセス許可が拒否されました。設定を確認して、もう一度試してください。,Kebenaran untuk mengakses perkhidmatan awan telah ditolak. Sila semak tetapan anda dan cuba lagi.,Tillatelse til å få tilgang til skytjenesten ble nektet. Sjekk innstillingene og prøv igjen.,Odmówiono zezwolenia na dostęp do usługi w chmurze. Sprawdź swoje ustawienia i spróbuj ponownie.,"A permissão para acessar o serviço em nuvem foi negada. Por favor, verifique suas configurações e tente novamente.","A permissão para acessar o serviço em nuvem foi negada. Por favor, verifique suas configurações e tente novamente.",В разрешении на доступ к облачному сервису было отказано. Пожалуйста проверьте свои настройки и попробуйте снова.,Se denegó el permiso para acceder al servicio en la nube. Por favor verifique su configuración e inténtelo nuevamente.,Tillstånd att komma åt molntjänsten nekades. Kontrollera dina inställningar och försök igen.,สิทธิ์ในการเข้าถึงบริการคลาวด์ถูกปฏิเสธ โปรดตรวจสอบการตั้งค่าของคุณแล้วลองอีกครั้ง,Bulut hizmetine erişim izni reddedildi. Lütfen ayarlarınızı kontrol edip tekrar deneyin.,Quyền truy cập dịch vụ đám mây đã bị từ chối. Vui lòng kiểm tra các thiết lập của bạn và thử lại.
,,,,Error_SKErrorCloudServiceNetworkConnectionFailed,There was a problem connecting to the network. Please check your internet connection and try again.,حدثت مشكلة في الاتصال بالشبكة. يرجى التحقق من اتصالك بالإنترنت والمحاولة مرة أخرى.,连接网络时出现问题。请检查您的互联网连接，然后重试。,連接網路時出現問題。請檢查您的網路連接，然後重試。,Er is een probleem opgetreden bij het verbinden met het netwerk. Controleer uw internetverbinding en probeer het opnieuw.,Nagkaroon ng problema sa pagkonekta sa network. Pakisuri ang iyong koneksyon sa internet at subukang muli.,Verkkoon yhdistämisessä oli ongelma. Tarkista internetyhteytesi ja yritä uudelleen.,"Un problème est survenu lors de la connexion au réseau. S'il vous plaît, vérifiez votre connexion à internet et réessayez.",Beim Herstellen der Verbindung zum Netzwerk ist ein Problem aufgetreten. Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut.,नेटवर्क से कनेक्ट होने में समस्या थी. अपने इंटरनेट कनेक्शन की जाँच करें और पुन: प्रयास करें।,Ada masalah saat menyambung ke jaringan. Silakan periksa koneksi internet Anda dan coba lagi.,Si è verificato un problema durante la connessione alla rete. Per favore controlla la tua connessione Internet e prova di nuovo.,네트워크에 연결하는 중에 문제가 발생했습니다. 인터넷 연결을 확인하고 다시 시도해 주세요.,ネットワークへの接続に問題が発生しました。インターネット接続を確認して、もう一度試してください。,Terdapat masalah menyambung ke rangkaian. Sila semak sambungan internet anda dan cuba lagi.,Det oppsto et problem med å koble til nettverket. Kontroller Internett-tilkoblingen din og prøv igjen.,Wystąpił problem z połączeniem się z siecią. Sprawdź swoje połączenie internetowe i spróbuj ponownie.,Ocorreu um problema na conexão com a rede. Por favor verifique sua conexão com a internet e tente novamente.,Ocorreu um problema na conexão com a rede. Por favor verifique sua conexão com a internet e tente novamente.,"Возникла проблема с подключением к сети. Пожалуйста, проверьте подключение к Интернету и повторите попытку.",Hubo un problema al conectarse a la red. Por favor verifique su conexión a Internet e inténtelo nuevamente.,Det gick inte att ansluta till nätverket. Kontrollera din internetanslutning och försök igen.,เกิดปัญหาในการเชื่อมต่อกับเครือข่าย โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณแล้วลองอีกครั้ง,Ağa bağlanırken bir sorun oluştu. Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin.,Đã xảy ra sự cố khi kết nối với mạng. Vui lòng kiểm tra kết nối internet của bạn và thử lại.
,,,,Error_SKErrorCloudServiceRevoked,Access to the cloud service has been revoked. Please check your account settings.,تم إلغاء الوصول إلى الخدمة السحابية. يرجى التحقق من إعدادات حسابك.,对云服务的访问已被撤销。请检查您的帐户设置。,對雲端服務的存取已被撤銷。請檢查您的帳戶設定。,De toegang tot de clouddienst is ingetrokken. Controleer uw accountinstellingen.,Ang pag-access sa serbisyo sa cloud ay binawi. Pakisuri ang mga setting ng iyong account.,Pääsy pilvipalveluun on peruutettu. Tarkista tilisi asetukset.,L'accès au service cloud a été révoqué. Veuillez vérifier les paramètres de votre compte.,Der Zugriff auf den Cloud-Dienst wurde widerrufen. Bitte überprüfen Sie Ihre Kontoeinstellungen.,क्लाउड सेवा तक पहुंच रद्द कर दी गई है. कृपया अपनी खाता सेटिंग जांचें.,Akses ke layanan cloud telah dicabut. Silakan periksa pengaturan akun Anda.,L'accesso al servizio cloud è stato revocato. Controlla le impostazioni del tuo account.,클라우드 서비스에 대한 접근이 취소되었습니다. 계정 설정을 확인하세요.,クラウド サービスへのアクセスが取り消されました。アカウント設定を確認してください。,Akses kepada perkhidmatan awan telah dibatalkan. Sila semak tetapan akaun anda.,Tilgang til skytjenesten er tilbakekalt. Vennligst sjekk kontoinnstillingene dine.,Dostęp do usługi w chmurze został odwołany. Sprawdź ustawienia swojego konta.,"O acesso ao serviço em nuvem foi revogado. Por favor, verifique as configurações da sua conta.","O acesso ao serviço em nuvem foi revogado. Por favor, verifique as configurações da sua conta.","Доступ к облачному сервису отозван. Пожалуйста, проверьте настройки вашего аккаунта.",Se ha revocado el acceso al servicio en la nube. Por favor verifique la configuración de su cuenta.,Tillgången till molntjänsten har återkallats. Kontrollera dina kontoinställningar.,การเข้าถึงบริการคลาวด์ถูกเพิกถอนแล้ว โปรดตรวจสอบการตั้งค่าบัญชีของคุณ,Bulut hizmetine erişim iptal edildi. Lütfen hesap ayarlarınızı kontrol edin.,Quyền truy cập vào dịch vụ đám mây đã bị thu hồi. Vui lòng kiểm tra cài đặt tài khoản của bạn.
,,,,Error_SKErrorPrivacyAcknowledgementRequired,Please acknowledge the privacy policy to proceed with the purchase.,يرجى الموافقة على سياسة الخصوصية لمتابعة عملية الشراء.,请确认隐私政策以继续购买。,請確認隱私權政策以繼續購買。,Bevestig het privacybeleid om door te gaan met de aankoop.,Mangyaring kilalanin ang patakaran sa privacy upang magpatuloy sa pagbili.,Hyväksy tietosuojakäytäntö jatkaaksesi ostoa.,Veuillez prendre connaissance de la politique de confidentialité pour procéder à l'achat.,"Bitte akzeptieren Sie die Datenschutzerklärung, um mit dem Kauf fortfahren zu können.",कृपया खरीदारी आगे बढ़ाने के लिए गोपनीयता नीति को स्वीकार करें।,Harap setujui kebijakan privasi untuk melanjutkan pembelian.,Si prega di prendere visione dell'informativa sulla privacy per procedere con l'acquisto.,구매를 진행하려면 개인 정보 보호 정책을 확인하세요.,プライバシーポリシーをご確認の上、ご購入を進めてください。,Sila akui dasar privasi untuk meneruskan pembelian.,Vennligst godkjenn personvernreglene for å fortsette med kjøpet.,"Aby kontynuować zakup, zapoznaj się z polityką prywatności.","Por favor, reconheça a política de privacidade para prosseguir com a compra.","Por favor, reconheça a política de privacidade para prosseguir com a compra.","Пожалуйста, ознакомьтесь с политикой конфиденциальности, чтобы продолжить покупку.","Por favor, reconozca la política de privacidad para continuar con la compra.",Vänligen godkänn integritetspolicyn för att fortsätta med köpet.,โปรดรับทราบนโยบายความเป็นส่วนตัวเพื่อดำเนินการซื้อต่อไป,Satın alma işlemine devam etmek için lütfen gizlilik politikasını kabul edin.,Vui lòng xác nhận chính sách quyền riêng tư để tiến hành mua hàng.
,,,,Error_SKErrorUnauthorizedRequestData,The request data is unauthorized. Please check your account settings.,بيانات الطلب غير مصرح بها. يرجى التحقق من إعدادات حسابك.,请求数据未经授权。请检查您的帐户设置。,請求資料未經授權。請檢查您的帳戶設定。,De aanvraaggegevens zijn ongeautoriseerd. Controleer uw accountinstellingen.,Ang data ng kahilingan ay hindi awtorisado. Pakisuri ang mga setting ng iyong account.,Pyyntötiedot ovat luvattomia. Tarkista tilisi asetukset.,Les données de la demande ne sont pas autorisées. Veuillez vérifier les paramètres de votre compte.,Die angeforderten Daten sind nicht autorisiert. Bitte überprüfen Sie Ihre Kontoeinstellungen.,अनुरोध डेटा अनधिकृत है. कृपया अपनी खाता सेटिंग जांचें.,Data permintaan tidak sah. Silakan periksa pengaturan akun Anda.,I dati richiesti non sono autorizzati. Controlla le impostazioni del tuo account.,요청 데이터가 승인되지 않았습니다. 계정 설정을 확인하세요.,リクエストデータは不正です。アカウント設定を確認してください。,Data permintaan adalah tidak dibenarkan. Sila semak tetapan akaun anda.,Forespørselsdataene er uautoriserte. Vennligst sjekk kontoinnstillingene dine.,Dane żądania są nieautoryzowane. Sprawdź ustawienia swojego konta.,"Os dados da solicitação não são autorizados. Por favor, verifique as configurações da sua conta.","Os dados da solicitação não são autorizados. Por favor, verifique as configurações da sua conta.","Данные запроса неавторизованы. Пожалуйста, проверьте настройки вашего аккаунта.",Los datos solicitados no están autorizados. Por favor verifique la configuración de su cuenta.,Begärans data är obehörig. Kontrollera dina kontoinställningar.,ข้อมูลคำขอไม่ได้รับอนุญาต โปรดตรวจสอบการตั้งค่าบัญชีของคุณ,Talep verileri yetkisiz. Lütfen hesap ayarlarınızı kontrol edin.,Dữ liệu yêu cầu là trái phép. Vui lòng kiểm tra cài đặt tài khoản của bạn.
,,,,Error_SKErrorInvalidOfferIdentifier,The offer identifier is invalid. Please try again later.,معرف العرض غير صالح. الرجاء معاودة المحاولة في وقت لاحق.,优惠标识符无效。请稍后再试。,優惠標識符無效。請稍後再試。,De aanbiedings-ID is ongeldig. Probeer het later opnieuw.,Di-wasto ang identifier ng alok. Subukang muli mamaya.,Tarjouksen tunniste on virheellinen. Yritä uudelleen myöhemmin.,L'identifiant de l'offre n'est pas valide. Veuillez réessayer plus tard.,Die Angebotskennung ist ungültig. Bitte versuchen Sie es später noch einmal.,ऑफ़र पहचानकर्ता अमान्य है. कृपया बाद में पुन: प्रयास करें।,Pengidentifikasi penawaran tidak valid. Silakan coba lagi nanti.,L'identificatore dell'offerta non è valido. Per favore riprova più tardi.,쿠폰 식별자가 잘못되었습니다. 나중에 다시 시도 해주십시오.,オファー識別子が無効です。後でもう一度試してください。,Pengecam tawaran tidak sah. Sila cuba sebentar lagi.,Tilbudsidentifikatoren er ugyldig. Prøv igjen senere.,Identyfikator oferty jest nieprawidłowy. Spróbuj ponownie później.,"O identificador da oferta é inválido. Por favor, tente novamente mais tarde.","O identificador da oferta é inválido. Por favor, tente novamente mais tarde.","Идентификатор предложения недействителен. Пожалуйста, повторите попытку позже.","El identificador de oferta no es válido. Por favor, inténtelo de nuevo más tarde.",Erbjudandets identifierare är ogiltig. Vänligen försök igen senare.,ตัวระบุข้อเสนอไม่ถูกต้อง กรุณาลองใหม่อีกครั้งในภายหลัง.,Teklif tanımlayıcı geçersiz. Lütfen daha sonra tekrar deneyiniz.,Mã định danh phiếu mua hàng không hợp lệ. Vui lòng thử lại sau.
,,,,Error_SKErrorInvalidOfferPrice,The offer price is invalid. Please check the offer details and try again.,سعر العرض غير صالح. يرجى التحقق من تفاصيل العرض والمحاولة مرة أخرى.,报价无效。请检查优惠详情并重试。,報價無效。請檢查優惠詳情並重試。,De aanbiedingsprijs is ongeldig. Controleer de aanbiedingsgegevens en probeer het opnieuw.,Ang presyo ng alok ay hindi wasto. Pakitingnan ang mga detalye ng alok at subukang muli.,Tarjoushinta on virheellinen. Tarkista tarjouksen tiedot ja yritä uudelleen.,Le prix de l'offre n'est pas valide. Veuillez vérifier les détails de l'offre et réessayer.,Der Angebotspreis ist ungültig. Bitte überprüfen Sie die Angebotsdetails und versuchen Sie es erneut.,ऑफ़र मूल्य अमान्य है. कृपया ऑफ़र विवरण जांचें और पुनः प्रयास करें।,Harga penawaran tidak valid. Silakan periksa detail penawaran dan coba lagi.,Il prezzo dell'offerta non è valido. Controlla i dettagli dell'offerta e riprova.,제안 가격이 잘못되었습니다. 혜택 세부정보를 확인하고 다시 시도해 주세요.,オファー価格は無効です。オファーの詳細を確認して、もう一度お試しください。,Harga tawaran tidak sah. Sila semak butiran tawaran dan cuba lagi.,Tilbudsprisen er ugyldig. Sjekk tilbudsdetaljene og prøv igjen.,Cena oferty jest nieważna. Sprawdź szczegóły oferty i spróbuj ponownie.,O preço da oferta é inválido. Verifique os detalhes da oferta e tente novamente.,O preço da oferta é inválido. Verifique os detalhes da oferta e tente novamente.,"Цена предложения недействительна. Пожалуйста, проверьте детали предложения и повторите попытку.",El precio de oferta no es válido. Por favor revisa los detalles de la oferta y vuelve a intentarlo.,Erbjudandets pris är ogiltigt. Kontrollera erbjudandet och försök igen.,ราคาเสนอไม่ถูกต้อง โปรดตรวจสอบรายละเอียดข้อเสนอแล้วลองอีกครั้ง,Teklif fiyatı geçersiz. Lütfen teklif ayrıntılarını kontrol edip tekrar deneyin.,Giá chào bán không hợp lệ. Vui lòng kiểm tra chi tiết ưu đãi và thử lại.
,,,,Error_SKErrorInvalidSignature,The transaction signature is invalid. Please try again.,توقيع المعاملة غير صالح. حاول مرة اخرى.,交易签名无效。请再试一次。,交易簽名無效。請再試一次。,De transactiehandtekening is ongeldig. Probeer het opnieuw.,Ang lagda ng transaksyon ay hindi wasto. Pakisubukang muli.,Tapahtuman allekirjoitus on virheellinen. Yritä uudelleen.,La signature de la transaction n'est pas valide. Veuillez réessayer.,Die Transaktionssignatur ist ungültig. Bitte versuche es erneut.,लेन-देन हस्ताक्षर अमान्य है. कृपया पुन: प्रयास करें।,Tanda tangan transaksi tidak valid. Silakan coba lagi.,La firma della transazione non è valida. Per favore riprova.,거래 서명이 유효하지 않습니다. 다시 시도해 주세요.,トランザクション署名が無効です。もう一度試してください。,Tandatangan transaksi tidak sah. Sila cuba lagi.,"Transaksjonssignaturen er ugyldig. Vær så snill, prøv på nytt.",Podpis transakcji jest nieprawidłowy. Proszę spróbuj ponownie.,"A assinatura da transação é inválida. Por favor, tente novamente.","A assinatura da transação é inválida. Por favor, tente novamente.","Подпись транзакции недействительна. Пожалуйста, попробуйте еще раз.",La firma de la transacción no es válida. Inténtalo de nuevo.,Transaktionssignaturen är ogiltig. Var god försök igen.,ลายเซ็นธุรกรรมไม่ถูกต้อง กรุณาลองอีกครั้ง.,İşlem imzası geçersiz. Lütfen tekrar deneyin.,Chữ ký giao dịch không hợp lệ. Vui lòng thử lại.
