,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
1088,Bach,Bach,باخ,巴赫,巴赫,Bach,Bach,Bach,Bach,Bach,Bach,Bach,Bach,바흐,バッハ,Bach,Bach,Bach,Bach,Bach,Бах,Bach,Bach,บาค,Bach,Bach,Bach
1089,Les Barricades Mystérieuses,The Mysterious Barricades,الحواجز الغامضة,神秘的路障,神秘的路障,De Mysterieuze Barricades,The Mysterious Barricades,The Mysterious Barricades,Les Barricades Mystérieuses,Die geheimnisvollen Barrikaden,The Mysterious Barricades,Barikade Misterius,Le Barricate Misteriose,신비한 바리케이드,謎のバリケード,The Mysterious Barricades,De Mystiske Barrikadene,Tajemnicze barykady,As Barricadas Misteriosas,As Barricadas Misteriosas,Таинственные баррикады,Las Barricadas Misteriosas,De Mystiska Barrikaderna,The Mysterious Barricades,Gizemli Barikatlar,Gizemli Bariyerler,The Mysterious Barricades
1090,Beautiful,Beautiful,جميل,美丽的,美麗的,Mooi,Beautiful,Beautiful,Beau,Schön,Beautiful,Cantik,Bellissimo,아름다운,美しい,Beautiful,Vakker,Piękno,Belo,Belo,Прекрасный,Hermoso,Skön,ความงาม,Güzel,Güzel,Xinh đẹp
1091,Painful,Painful,مؤلم,痛苦,痛苦,Pijnlijk,Painful,Painful,Douloureux,Schmerzlich,Painful,Menyakitkan,Doloroso,괴로운,痛い,Painful,Smertefullt,Bolesne,Doloroso,Doloroso,Боль,Doloroso,Smärtsam,เจ็บปวด,Acı verici,Acı Verici,Đau đớn
1092,Kevin Jeong,Kevin Jeong,كيفن جيونج,郑凯文,鄭凱文,Kevin Jeong,Kevin Jeong,Kevin Jeong,Kévin Jeong,Kevin Jeong,Kevin Jeong,Kevin Jeong,Kevin Jeong,케빈 정,ケビン・チョン,Kevin Jeong,Kevin Jeong,Kevin Jeong,Kevin Jeong,Kevin Jeong,Кевин Джонг,Kevin Jeong,Kevin Jeong,เควิน จัง,Kevin Jeong,Kevin Jeong,Kevin Jeong
1093,The Steadfast Palm Grass,The Steadfast Palm Grass,عشب النخيل الصامد,风动草,風動草,Het standvastige palmgras,The Steadfast Palm Grass,The Steadfast Palm Grass,La palmier inébranlable,The Steadfast Palm Grass,The Steadfast Palm Grass,Rumput palem yang teguh,L'erba di palma costante,확고한 야자수 잔디,ステッドファスト・パーム・グラス,The Steadfast Palm Grass,Det standhaftige palmegraset,Niezłomna trawa palmowa,O grama de palmeira firme,O grama de palmeira firme,Стойкая трава у пальмы,El Césped de Palma Firme,The Steadfast Palm Grass,The Steadfast Palm Grass,Kararlı palmiye çimenleri,Sarsılmaz Palmiye Otu,The Steadfast Palm Grass
1094,Bluestone Alley-Adapted,Bluestone Alley-Adapted,نسخة معدلة زقاق أزرق,青石巷-配器版,青石巷-配器版,Bluestone Alley-aangepast,Bluestone Alley-Adapted,Bluestone Alley-Adapted,Bluestone Alley-Adapté,Bluestone Alley-Adapted,Bluestone Alley-Adapted,Beradaptasi dengan gang bluestone,Bluestone Alley adattato,블루스톤 앨리 – 어댑티드,ブルーストーン・アレイ - 改作,Bluestone Alley-Adapted,Bluestone Alley-tilpasset,Bluestone Alley – Dostosowane,Bluestone Alley-Adaptado,Bluestone Alley-Adaptado,Цин Ши Сян - Адаптировано,Bluestone Alley-Adaptado,Bluestone Alley-anpassad,Bluestone Alley-ดัดแปลงแ,Bluestone Alley-Adapted,Bluestone Alley-Adapted,Bluestone Alley-phiên bản cải biên
1095,Berenice,Berenice,بيرينيس,Berenice,Berenice,Berenice,Berenice,Berenice,Bérénice,Berenice,Berenice,Berenice,Berenice,베레니체,ベレニス,Berenice,Berenice,Berenice,Berenice,Berenice,Беренице,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice
1096,Falling Falling,Falling Falling,سقوط سقوط,Falling Falling,Falling Falling,Vallend vallen,Falling Falling,Falling Falling,Tomber en chute,Falling Falling,Falling Falling,Jatuh jatuh,Caduta caduta,폴링 폴링,フォーリング・フォーリング,Falling Falling,Falling Falling,Falling Falling,Caindo caindo,Caindo caindo,Фоллинг Фоллинг,Cayendo,Fallande,Falling Falling,Düşen düşme,Düşmek Düşmek,Rơi xuống
1097,SibeliusConcertoNo2Final4,Concerto No. 2,كونشرتو رقم 2,第二协奏曲,第二協奏曲,Concert nr. 2,Concerto No. 2,Concerto No. 2,Concerto No. 2,Konzert Nr. 2,Concerto No. 2,Konser No.2,Concerto n.2,협주곡 2번,協奏曲第2番,Concerto No. 2,Konsert nr. 2,Concerto nr 2,Concerto No. 2,Concerto No. 2,Концерт № 2,Concierto nº 2,Konsert no.2,คอนแชร์โต้หมายเลข 2,Konçerto No.2,Konçerto No.2,Concerto No. 2
1098,StamitzConcertoNo3Final4,Concerto No. 3,كونشرتو رقم 3,第三协奏曲,第三協奏曲,Concert nr. 3,Concerto No. 3,Concerto No. 3,Concerto No. 3,Konzert Nr. 3,Concerto No. 3,Konser No.3,Concerto n.3,협주곡 3번,協奏曲第3番,Concerto No. 3,Konsert nr. 3,Concerto nr 3,Concerto No. 3,Concerto No. 3,Концерт № 3,Concierto nº 3,Konsert no.3,คอนแชร์โต้หมายเลข 3,Konçerto No.3,Konçerto No.3,Concerto No. 3
1099,VivaldiConcertoInDMinorFinal2,Concerto in D Minor,كونشيرتو في D الصغرى,D小调协奏曲,D小調協奏曲,Concerto in D mineur,Concerto in D Minor,Concerto in D Minor,Concerto en ré mineur,Konzert in d-Moll,Concerto in D Minor,Konsert di D Minor,Concerto in re minore,협주곡 라단조,協奏曲 ニ短調,Concerto in D Minor,Konsert i d-moll,Concerto d-moll,Concerto em Ré Menor,Concerto em Ré Menor,Концерт ре минор,Concierto en re menor,Konsert i d-moll,คอนแชร์โต้ในดีไมเนอร์,Re Minör Konçertosu,D Minör Konçerto,Concerto in D Minor
1100,BoismortierAllemandeFinal5,Allemande,ألماندي,阿勒曼德舞曲,阿勒曼德舞曲,Allemande,Allemande,Allemande,Allemande,Allemande,Allemande,Allemande,Allemande,알러만드,アルマンド,Allemande,Allemande,Allemanda,Alemande,Alemande,Альманд,Alemande,Allemande,Allemande,Allemande,Allemande,Allemande
1101,BrahmsWaltz9finalfix,Waltz No. 9,الفالس رقم ٩,圆舞曲第九号,圓舞曲第九號,Wals nr. 9,Waltz No. 9,Waltz No. 9,Valse No.9,Walzer Nr. 9,Waltz No. 9,Walzer No. 9,Valzer n. 9,왈츠 번호 9,ワルツ第9番,Waltz No. 9,Vals nr. 9,Walc nr 9,Valsa No. 9,Valsa No. 9,Вальс №9,Vals No. 9,Vals no.9,Waltz No. 9,Vals No. 9,Vals No.2,Valse No.9
1102,ChopinOp55No2FinalFix5,Nocturne Op. 55 No. 2,الليلية العازفة أوب. ٥٥ رقم ٢,夜曲作品55号2,夜曲作品55號2,Nocturne Op. 55 Nr. 2,Nocturne Op. 55 No. 2,Nocturne Op. 55 No. 2,Nocturne Op. 55 No.2,Nocturne Op. 55 Nr. 2,Nocturne Op. 55 No. 2,Nocturne Op. 55 No. 2,Notturno Op. 55 n. 2,녹턴 Op. 55 번호 2,ノクターン作品55番2,Nocturne Op. 55 No. 2,Nocturne Op. 55 Nr. 2,Nokturn Op. 55 nr 2,Noturno Op. 55 No. 2,Noturno Op. 55 No. 2,"Ноктюрн, соч. 55, № 2",Nocturno Op. 55 No. 2,Nocturno Op. 55 No. 2,น็อคเทิร์น ออป. 55 หมายเลข 2,Nocturne Op. 55 No. 2,Noktürn Op.55 No.2,Nocturne Op. 55 No. 2
1103,HenryPurcellPreludeAndMenuetFinal,Prelude Et Menuet,مقدمة وآخرون Menuet,前奏曲与小步舞曲,前奏曲與小步舞曲,Prelude en Menuet,Prelude Et Menuet,Prelude Et Menuet,Prélude Et Menuet,Präludium und Menuett,Prelude Et Menuet,Pendahuluan dan Menuet,Preludio e minuetto,전주곡과 메뉴엣,前奏曲とメヌエット,Prelude Et Menuet,Preludium og Menuett,Preludium i menuet,Prelúdio e Minueto,Prelúdio e Minueto,Прелюдия и менуэт,Preludio y Minué,Preludium och menuett,Prelude Et Menuet,Prelude Et Menüsü,Prelüd ve Menüet,Prelude và Menuet
1104,JohnAdsonCourtlyFinal,Courtly Masquing Ayres,أيريس مقنع بلطف,宫廷伪装艾尔斯,宮廷偽裝艾爾斯,Hoofse Masquing Ayres,Courtly Masquing Ayres,Courtly Masquing Ayres,Ayres masquant courtoisement,Höfisch maskierender Ayres,Courtly Masquing Ayres,Menyamarkan Ayres dengan sopan,Ayres mascherato cortese,정중하게 가면을 쓰는 아이레스,宮廷のマスキング・エアーズ,Courtly Masquing Ayres,Courtly Masquing Ayres,Dworski Masquing Ayres,Máscara Cortês de Ayres,Máscara Cortês de Ayres,Куртуазный Маскирующий Эйрс,Aires Enmascarados Cortesanos,Courtly Masquing Ayres,Courtly Masquing Ayres,Ayres'i Kibarca Maskeleme,Courtly Masquing Ayres,Courtly Masquing Ayres
1105,LullyPreludeFinal,Prelude,مقدمة,序幕,序幕,Voorspel,Prelude,Prelude,Prélude,Auftakt,Prelude,Pendahuluan,Preludio,전주곡,プレリュード,Prelude,Preludium,Preludium,Prelúdio,Prelúdio,Прелюдия,Preludio,Preludium,โหมโรง,Prelüd,Prelüd,Prelude
1106,MaraisLivreIIFinal,Livre II,ليفر الثاني,书二,書二,Livre II,Livre II,Livre II,Livre II,Buch II,Livre II,Hidup II,Libro II,리브르 II,リーヴル II,Livre II,Livre II,Livre II,Livro II,Livro II,Ливр II,Libro II,Livre II,Livre II,Livre II,Livre II,Livre II
1107,PurcellQueenMaryFinal,Queen Mary,الملكة ماري,玛丽皇后号,瑪麗皇后號,Koningin Maria,Queen Mary,Queen Mary,Reine Marie,Königin Maria,Queen Mary,Ratu Mary,regina Maria,퀸 메리,クイーン・メアリー,Queen Mary,Dronning Mary,Królowa Maria,Rainha Maria,Rainha Maria,Королева Мэри,Reina María,Drottning Mary,ควีนแมรี่,Kraliçe Mary,Kraliçe Mary,Nữ hoàng Mary
1108,RameauRondeauFinal,Rondeau from Les Indes Galantes,روندو من Les Indes Galantes,《Les Indes Galantes》中的回旋曲,《Les Indes Galantes》中的迴旋曲,Rondeau van Les Indes Galantes,Rondeau from Les Indes Galantes,Rondeau from Les Indes Galantes,Rondeau des Indes Galantes,Rondeau aus Les Indes Galantes,Rondeau from Les Indes Galantes,Rondeau dari Les Indes Galantes,Rondeau da Les Indes Galantes,Les Indes Galantes의 론도,レ・ザンデ・ギャラントのロンドー,Rondeau from Les Indes Galantes,Rondeau fra Les Indes Galantes,Rondeau z Les Indes Galantes,Rondeau de Les Indes Galantes,Rondeau de Les Indes Galantes,Рондо из «Индийской галантности»,Rondeau de Les Indes Galantes,Rondeau från Les Indes Galantes,Rondeau from Les Indes Galantes,Les Indes Galantes'ten Rondeau,Les Indes Galantes’ten Rondeau,Rondeau từ Les Indes Galantes
1109,RameauTambourinNo8Final,Tambourin No. 8,الدف رقم 8,8 号手鼓,8 號手鼓,Tamboerijn nr. 8,Tambourin No. 8,Tambourin No. 8,Tambourin No.8,Tamburin Nr. 8,Tambourin No. 8,Rebana No.8,Tamburello n. 8,탬버린 8번,タンバリンNo.8,Tambourin No. 8,Tambourin nr. 8,Tamburyn nr 8,Pandeiro No.8,Pandeiro No.8,Бубен №8,Pandereta nº 8,Tambourin No. 8,Tambourin No. 8,Tef No.8,Tambourin No.8,Tambourin No. 8
1110,ScarlattiSonataInFMinorFinal,Sonata in F Minor,سوناتا في F الصغرى,F小调奏鸣曲,F小調奏鳴曲,Sonate in F mineur,Sonata in F Minor,Sonata in F Minor,Sonate en fa mineur,Sonate in f-Moll,Sonata in F Minor,Sonata di F Minor,Sonata in fa minore,F단조 소나타,ソナタ ヘ短調,Sonata in F Minor,Sonate i f-moll,Sonata f-moll,Sonata em Fá Menor,Sonata em Fá Menor,Соната фа минор,Sonata en fa menor,Sonat i f-moll,โซนาต้าในเอฟไมเนอร์,Fa Minör Sonat,F Minör Sonat,Sonata trong F Minor
1111,ScarlattiSonataK10Final,Sonata K10,سوناتا K10,索纳塔K10,索納塔K10,Sonate K10,Sonata K10,Sonata K10,Sonate K10,Sonate K10,Sonata K10,Sonata K10,Sonata K10,쏘나타 K10,ソナタ K10,Sonata K10,Sonata K10,Sonata K10,Sonata K10,Sonata K10,Соната К10,Sonata K10,Sonat K10,โซนาต้า K10,Sonat K10,Sonat K10,Sonata K10
1112,Marin Marais,Marin Marais,مارين ماراي,马林·马雷,馬林·馬雷,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Marin Marais,마랭 마레,マラン・マレ,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Marin Marais,Марин Марай,Marin Marais,Marin Marais,มาริน มาแรส์,Marin Marais,Marin Marais,Marin Marais
1113,Richard Clayderman,Richard Clayderman,ريتشارد كلايدرمان,理查德·克莱德曼,理查德·克萊德曼,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,리처드 클라이더만,リシャール・クレイダーマン,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Richard Clayderman,Ричард Клайдерман,Richard Clayderman,Richard Clayderman,ริชาร์ด คลายเดอแมน,Richard Clayderman,Richard Clayderman,Richard Clayderman
1114,George Frideric Handel,George Frideric Handel,جورج فريدريك هاندل,乔治·弗里德里克·亨德尔,喬治·弗里德里克·韓德爾,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,조지 프리드리히 핸델,ジョージ・フリードリヒ・ヘンデル,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,George Frideric Handel,Георг Фридрих Гендель,George Frideric Handel,George Frideric Handel,จอร์จ ฟรีดริช แฮนเดล,George Frideric Handel,George Frideric Handel,George Frideric Handel
1115,Lerins Uriel,Lerins Uriel,ليرينس أورييل,莱林斯·乌里尔,萊林斯·烏里爾,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,레린스 우리엘,レランス・ウリエル,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Lerins Uriel,Леринс Уриэль,Lerins Uriel,Lerins Uriel,เลรินส์ อุริเอล,Lerins Uriel,Lerins Uriel,Lerins Uriel
1116,Will Lyons,Will Lyons,ويل ليونز,威尔·莱昂斯,威爾·萊昂斯,Wil Lyons,Will Lyons,Will Lyons,Will Lyons,Will Lyons,Will Lyons,Akankah Lyons?,Will Lyons,윌 라이온스,ウィル・ライオンズ,Will Lyons,Will Lyons,Will Lyons,Will Lyons,Will Lyons,Уилл Лайонс,Will Lyons,Will Lyons,วิล ลีออนส์,Will Lyons,Will Lyons,Will Lyons
1117,Interplanetary Wandering,Interplanetary Wandering,التجول في الكواكب,星际流浪,星際流浪,Interplanetair ronddwalen,Interplanetary Wandering,Interplanetary Wandering,Errant interplanétaire,Interplanetary Wandering,Interplanetary Wandering,Pengembaraan antarplanet,Vagabondaggio interplanetario,행성 간 방황,星際流浪 ,Interplanetary Wandering,Interplanetær vandring,Wędrowanie międzyplanetarne,Vagando Interplanetário,Vagando Interplanetário,Межпланетное странствие,Vagabundo interplanetario,Interplanetär vandring,Interplanetary Wandering,Yürüyüşler arası dolaşım,Gezegenler Arası Gezinti,Cuộc du hành liên hành tinh
1118,If You Were By My Side,If You Were By My Side,لو كنت بجانبي,如果你在我身边,如果你在我身邊,Als je aan mijn zijde was,If You Were By My Side,If You Were By My Side,Si tu étais à mes côtés,Wenn du von meiner Seite,If You Were By My Side,Jika Anda berada di sisi saya,Se tu fossi al mio fianco,당신이 내 곁에 있었다면,あなたがそばにいてくれたら,If You Were By My Side,Hvis du var ved min side,Gdybyś był przy mnie,Se Você Estivesse ao Meu Lado,Se Você Estivesse ao Meu Lado,Если бы ты был рядом,Si Tú Estuvieras a Mi Lado,Om du var vid min sida,ถ้าคุณอยู่เคียงข้างฉัน,Eğer benim tarafımda olsaydın,Yanımda Olsaydın,Ước gì bạn ở bên tôi
1119,Stamitz,Stamitz,ستاميتز,斯塔米茨,斯塔米茨,Stamitz,Stamitz,Stamitz,Stamitz,Stamitz,Stamitz,Stamitz,Stamitz,슈타미츠,シュターミッツ,Stamitz,Stamitz,Stamitz,Stamitz,Stamitz,Стамиц,Stamitz,Stamitz,สตามิทซ์,Stamitz'in,Stamitz,Stamitz
1120,Boismortier,Boismortier,بويزمورتييه,布瓦莫蒂耶,布瓦莫蒂耶,Boismortier,Boismortier,Boismortier,Boismortier,Boismortier,Boismortier,Boismortier,Boismortier,부아모티에,ボワモルティエ,Boismortier,Boismortier,Boismortier,Boismortier,Boismortier,Буамортье,Boismortier,Boismortier,บัวส์มอร์ติเยร์,Boismortier,Boismortier,Boismortier
1121,Henry Purcell,Henry Purcell,هنري بورسيل,亨利·珀塞尔,亨利·珀塞爾,Hendrik Purcell,Henry Purcell,Henry Purcell,Henri Purcell,Henry Purcell,Henry Purcell,Henry Purcell,Henry Purcell,헨리 퍼셀,ヘンリー・パーセル,Henry Purcell,Henry Purcell,Henry Purcell,Henry Purcell,Henry Purcell,Генри Перселл,Henry Purcell,Henry Purcell,เฮนรี เพอร์เซลล์,Henry Purcell,Henry Purcell,Henry Purcell
1122,John Adson,John Adson,جون أدسون,约翰·阿德森,約翰·阿德森,John Adson,John Adson,John Adson,John Adson,John Adson,John Adson,John Adson,John Adson,존 애드슨,ジョン・アドソン,John Adson,John Adson,John Adson,John Adson,John Adson,Джон Адсон,John Adson,John Adson,จอห์น แอดสัน,John Adson,John Adson,John Adson
1123,Wish You a Christmas,Wish You a Christmas,أتمنى لكم عيد ميلاد مجيد,祝你圣诞快乐,祝你聖誕快樂,Wens je een Kerst,Wish You a Christmas,Wish You a Christmas,Je vous souhaite un Noël,Wünsche dir ein Weihnachtsfest,Wish You a Christmas,Mengucapkan Natal untukmu,Ti auguro un Natale,크리스마스를 빕니다,あなたにクリスマスを願う,Wish You a Christmas,Ønsker deg en jul,Życzę ci Wesołych Świąt,Desejo-lhe um Feliz Natal,Desejo-lhe um Feliz Natal,Желаю вам Рождества,Te Deseo una Feliz Navidad,Vi önskar dig en riktigt god jul,ขอให้คุณมีความสุขในวันคริสต์มาส,Sana bir Noel diliyorum,Sana Bir Noel Diliyorum,Chúc bạn một Giáng sinh
1124,Everything,Everything,كل شيء,一切,一切,Alles,Everything,Everything,Tout,Everything,Everything,Semuanya,Tutto,모든 것,エブリシング,,Alt,Wszystko,Tudo,Tudo,Всё,Todo,Allt,ทุกอย่าง,Her şey,Her Şey,Mọi thứ
1125,Little Prince,Little Prince,الأمير الصغير,小王子,小王子,Kleine Prins,Little Prince,Little Prince,Petit Prince,Little Prince,Little Prince,Pangeran kecil,Piccolo Principe,어린 왕자,小さな王子,Little Prince,Lille prins,Mały Książe,O Pequeno Príncipe,O Pequeno Príncipe,Маленький Принц,Principito,Liten prins,เจ้าชายน้อย,Küçük Prens,Küçük Prens,Hoàng tử bé
1126,Toot - toot Song,Toot - toot Song,أغنية بوق-بوق,嘟嘟歌,嘟嘟歌,TOOT - TOOT SONG,Toot - toot Song,Toot - toot Song,Toot - Toot Song,Toot - toot Song,Toot - toot Song,TOOT - TOOT Song,Toot - Toot Song,톹 - 톹 노래,トゥート・トゥート・ソング,Toot - toot Song,Toot - Toot Song,Toot - Toot Song,Canção Toot - Toot,Canção Toot - Toot,Песня «Тут-ту»,Toot - Toot Song,Toot - Toot Song,Toot - toot Song,TOOT - TOOT ŞARKI,Düt-Düt Şarkısı,Toot - Toot Song
1127,Dance Of Fireflies,Dance Of Fireflies,رقصة اليراعات,萤火虫之舞,螢火蟲之舞,Dans van vuurvliegjes,Dance Of Fireflies,Dance Of Fireflies,Danse des lucioles,Dance Of Fireflies,Dance Of Fireflies,Dance of Fireflies,Danza delle lucciole,반딧불의 춤,ダンス・オブ・ファイヤーフライズ,Dance Of Fireflies,Dance of Fireflies,Taniec świetlików,Dança dos Vagalumes,Dança dos Vagalumes,Танец светлячков,Danza de luciérnagas,Dance Of Fireflies,การเต้นรำของหิ่งห้อย,Fireflies Dansı,Ateşböceklerinin Dansı,Vũ điệu của đom đóm
1128,Days in a Green Hill,Days in a Green Hill,أيامفيتلةخضراء,山居岁月,山居歲月,Dagen in een groene heuvel,Days in a Green Hill,Days in a Green Hill,Jours dans une colline verte,Days in a Green Hill,Days in a Green Hill,Hari -hari di bukit hijau,Giorni in una collina verde,녹색 언덕의 날들,デイズ・イン・ア・グリーン・ヒル,Days in a Green Hill,Dager i en grønn bakke,Dni na zielonym wzgórzu,Dias em uma Colina Verde,Dias em uma Colina Verde,Дни на зеленом холме,Días en una colina verde,Days in a Green Hill,วันในเนินเขาสีเขียว,Yeşil Bir Tepede Günler,Yeşil Bir Tepede Günler,Ngày ở một ngọn đồi xanh
1129,Song Of The Stream,Song Of The Stream,أغنية التيار,小溪之歌,小溪之歌,Lied van de stream,Song Of The Stream,Song Of The Stream,Chant du ruisseau,Song Of The Stream,Song Of The Stream,Song of the Stream,Canzone del flusso,개울의 노래,ソング・オブ・ザ・ストリーム,Song Of The Stream,Song of the Stream,Pieśń strumienia,Canção do Riacho,Canção do Riacho,Песня ручья,Canción de la transmisión,Song Of The Stream,เพลงแห่งสายน้ำ,Derenin Şarkısı,Dere Şarkısı,Bài hát của dòng chảy
1130,Smile Smile Smile,Smile Smile Smile,ابتسام ابتسام ابتسام,微笑的声音,微笑的聲音,Glimlach glimlach glimlachen,Smile Smile Smile,Smile Smile Smile,Sourire sourire sourire,Smile Smile Smile,Smile Smile Smile,Senyum senyum senyum,Sorridi Sorridi Sorridi,스마일 스마일 스마일,スマイル スマイル スマイル,Smile Smile Smile,Smil smil,"Uśmiechnij się, uśmiechnij się, uśmiechnij się","Sorria, Sorria, Sorria","Sorria, Sorria, Sorria","Улыбаться, улыбаться, улыбаться",Sonríe sonríe Sonríe,Le leende,รอยยิ้มยิ้มยิ้ม,Gül gül gül,Gülümse Gülümse Gülümse,Cười cười cười
1131,Melody of the Night No.5,Melody of the Night No.5,لحن ليلة No.5,夜的钢琴曲五,夜的鋼琴曲五,Melodie van de nacht nr. 5,Melody of the Night No.5,Melody of the Night No.5,Mélodie de la nuit No.5,Melodie der Nacht Nr.5,Melody of the Night No.5,Melody of the Night No.5,Melodia della notte n. 5,밤의 멜로디 5번,夜のメロディ 第5番,Melody of the Night No.5,Melodien om natten nr.5,Melodia nocy nr 5,Melodia da Noite No.5,Melodia da Noite No.5,Мелодия ночи № 5,Melodía de la noche No.5,Melody of the Night No.5,Melody of the Night No.5,Gecenin Melodisi No.5,Melody of the Night No.5,Giai điệu của đêm số 5
1132,Narrate,Narrate,راوي,倾诉,傾訴,Vertellen,Narrate,Narrate,Raconter,Narrate,Narrate,Menceritakan,Narrare,내러레이트,ナレート,Narrate,Fortelle,Opowieść,Narrar,Narrar,Рассказать,Narrar,Berätta,บรรยาย,Anlatmak,Anlat,Narrate
1133,Elves of Night,Elves of Night,اقزام الليل,森林狂想曲,森林狂想曲,Elfen van de nacht,Elves of Night,Elves of Night,Elfes de nuit,Elves of Night,Elves of Night,Peri Malam,Elfi della notte,밤의 엘프,夜のエルフ,Elves of Night,Elver av natten,Elfy nocy,Elfos da noite,Elfos da noite,Ночные эльфы,Elfos de la noche,Elves of Night,เอลฟ์แห่งกลางคืน,Gecenin Elfleri,Gecenin Elfleri,Yêu tinh của đêm
1134,Riverside Bicycling,Riverside Bicycling,الدراجة بالنهر,河滨铁马乐,河濱鐵馬樂,Riverside fietsen,Riverside Bicycling,Riverside Bicycling,Vélo au bord de la rivière,Riverside Bicycling,Riverside Bicycling,Bersepeda di tepi sungai,Bicycling a fiume,리버사이드 자전거,河濱鐵馬樂,Riverside Bicycling,Riverside sykling,Riverside Bicycling,Ciclismo à Beira do Rio,Ciclismo à Beira do Rio,Велосипедная прогулка по набережной,Bicicleta junto al río,Riverside Bicycling,การปั่นจักรยานริมแม่น้ำ,Riverside bisiklet,Nehir Kenarında Bisiklet Sürme,Xe đạp ven sông
1135,Spirits Of The Wetlands,Spirits Of The Wetlands,أرواح الأراضي الرطبة,湿地小精灵,濕地小精靈,Geesten van de wetlands,Spirits Of The Wetlands,Spirits Of The Wetlands,Esprits des zones humides,Spirits Of The Wetlands,Spirits Of The Wetlands,Roh Lahan Basah,Spiriti delle zone umide,습지의 영혼,湿地小精霊,Spirits Of The Wetlands,Spirits of the Wetlands,Duchy mokradeł,Espíritos dos pântanos,Espíritos dos pântanos,Духи болот,Espíritus de los humedales,Spirits Of The Wetlands,วิญญาณแห่งพื้นที่ชุ่มน้ำ,Sulak Alanların Ruhları,Sulak Alanların Ruhları,Tinh thần của vùng đất ngập nước
1136,Zonshain,Zonshain,Zonshain,从尚,從尚,Zonshain,Zonshain,Zonshain,Zonshain,Zonshain,Zonshain,Zonshain,Zonshain,존샤인,從尚,Zonshain,Zonshain,Zonshain,Zonshain,Zonshain,Зоншайн,Zonshain,Zonshain,Zonshain,Zonsor,Zonshain,Zonshain
1137,Love's Sorrow,Love's Sorrow,حزن الحب,爱的悲伤,愛的悲傷,Het verdriet van de liefde,Love's Sorrow,Love's Sorrow,Le chagrin de l'amour,Liebeskummer,Love's Sorrow,Kesedihan Cinta,Dolore d'amore,사랑의 슬픔,愛の悲しみ,Love's Sorrow,Kjærlighetssorg,Smutek miłości,A tristeza do amor,A tristeza do amor,Печаль любви,El dolor del amor,Kärlekssorg,ความรักคือความทุกข์,Aşkın Acı,Aşkın Hüznü,Nỗi buồn tình yêu
1138,Sonatina in C Op.36 No.1,Sonatina in C Op.36 No.1,سوناتينا في C Op.36 رقم 1,C Op.36 No.1 奏鸣曲,C Op.36 No.1 奏鳴曲,Sonatine in C Op.36 nr.1,Sonatina in C Op.36 No.1,Sonatina in C Op.36 No.1,Sonatine en ut Op.36 No.1,Sonatine in C Op.36 Nr.1,Sonatina in C Op.36 No.1,Sonatina di C Op.36 No.1,Sonatina in do op.36 n.1,C장조 소나티나 Op.36 1번,ソナチネ ハ長調 Op.36 No.1,Sonatina in C Op.36 No.1,Sonatina i C op.36 nr.1,Sonatina C op.36 nr 1,Sonatina em Dó Maior Op.36 No.1,Sonatina em Dó Maior Op.36 No.1,Сонатина до мажор Op.36 №1,Sonatina en Do Op. 36 No. 1,Sonatina i C-dur Op.36 Nr.1,โซนาตินาในซีเมเจอร์ ออปัส 36 หมายเลข 1,C Op.36 No.1'de Sonatina,C Majör Sonatina Op.36 No.1,Sonatina trong C Op.36 No.1
1139,St. Louis Blues,St. Louis Blues,سانت لويس بلوز,圣路易斯蓝调,聖路易斯藍調,St. Louis Blues,St. Louis Blues,St. Louis Blues,Blues de Saint-Louis,St. Louis Blues,St. Louis Blues,Musik Blues St.Louis,St. Louis Blues,세인트 루이스 블루스,セントルイス・ブルース,St. Louis Blues,St. Louis Blues,Blues z St. Louis,Blues de St. Louis,Blues de St. Louis,Сент-Луис Блюз,Blues de San Luis,St. Louis Blues,เซนต์หลุยส์ บลูส์,St.Louis Blues,St. Louis Blues,St. Louis Blues
